userId,itemId,rating
0,0,5
1,1,4
1,2,5
1,3,5
1,4,3
1,5,4
1,6,3
1,7,4
1,8,5
1,9,5
1,10,5
1,11,5
2,12,4
2,13,3
2,14,4
2,15,5
2,16,5
2,17,5
2,18,5
2,19,5
2,20,5
2,21,4
2,22,5
2,23,2
2,24,5
2,25,3
2,26,4
2,5,3
2,27,4
2,28,4
2,29,3
2,30,3
2,31,2
2,32,4
2,33,4
2,34,4
2,35,4
2,36,4
2,37,4
2,38,4
2,39,4
2,40,5
2,41,3
3,42,4
4,43,5
4,44,3
4,45,4
4,46,5
4,47,4
4,48,4
4,49,5
4,50,5
4,51,4
4,52,5
4,53,5
4,54,5
4,55,4
4,56,5
4,57,3
4,58,5
4,59,5
4,60,3
4,61,5
4,62,5
2,63,5
2,64,2
2,65,5
2,66,5
2,67,4
2,68,4
2,69,4
2,70,3
2,71,5
2,72,3
2,54,4
0,73,3
0,74,3
0,75,3
0,76,5
0,77,3
0,78,3
0,79,3
2,80,3
2,81,4
2,82,5
2,83,4
2,84,4
2,85,4
2,86,3
2,7,3
2,87,5
2,88,4
2,89,4
2,90,4
2,91,4
2,92,4
2,93,3
2,94,4
2,95,4
2,96,4
2,97,4
2,98,5
2,8,4
2,99,3
2,100,3
2,101,3
2,102,3
5,103,3
5,104,4
5,105,5
5,106,4
5,107,4
5,108,5
5,109,4
5,110,4
5,111,5
5,112,4
5,113,4
5,7,3
5,5,2
5,114,1
5,115,1
5,116,5
5,117,2
5,118,3
5,52,4
5,119,5
5,120,4
5,121,2
5,97,1
5,122,5
5,123,5
5,124,4
5,125,5
5,32,5
5,126,4
5,127,5
5,128,3
5,129,2
5,130,2
5,99,2
5,131,2
5,132,2
5,100,2
5,133,2
5,134,2
5,135,2
5,136,2
5,137,2
5,138,4
5,139,4
5,41,2
5,40,2
5,140,5
5,141,2
5,142,5
5,143,4
5,144,4
6,31,2
6,97,4
6,145,5
6,146,5
6,147,3
6,0,3
6,148,3
6,149,4
6,150,3
6,102,4
6,92,3
6,151,3
6,34,5
6,5,3
6,7,4
6,152,5
6,153,5
6,40,4
6,154,3
6,155,4
6,156,3
6,157,3
6,158,4
6,159,4
4,160,5
6,78,4
7,34,5
7,18,4
7,32,4
7,105,5
7,161,3
7,20,4
7,97,5
7,16,4
7,15,4
7,17,3
7,36,5
7,69,4
7,7,5
7,5,3
7,162,4
7,163,4
7,142,5
7,143,5
7,164,4
7,165,5
7,166,5
7,167,5
7,168,5
7,169,3
7,170,5
7,82,5
7,171,5
7,172,4
7,173,5
7,26,5
7,174,4
7,175,3
7,126,5
7,176,5
7,177,4
7,178,4
7,179,4
7,180,5
7,120,5
7,121,4
7,181,4
7,182,5
7,183,4
7,184,4
7,185,5
7,186,4
7,187,4
7,101,4
7,188,5
7,189,5
7,190,5
7,191,4
7,192,4
7,193,5
7,194,5
7,52,4
7,195,4
7,159,5
7,196,3
7,106,4
7,144,5
7,65,5
8,197,4
8,198,3
8,53,4
8,199,4
8,200,2
8,106,4
8,201,2
8,116,3
8,105,4
8,107,3
8,108,4
8,109,4
8,202,4
8,203,5
2,204,2
2,131,4
2,172,3
2,205,4
2,206,4
2,141,3
2,207,4
2,208,5
2,209,4
2,210,3
2,129,3
2,211,5
2,212,4
2,213,5
2,214,4
2,215,4
2,216,4
2,217,5
8,218,4
8,219,5
8,220,2
8,69,4
8,126,4
8,221,4
8,102,4
8,222,3
8,54,4
8,205,4
8,36,5
8,223,4
8,224,4
8,225,4
8,226,5
8,227,5
9,13,2
9,228,4
9,93,5
8,229,4
4,38,3
10,230,4
10,231,4
10,172,4
10,186,4
10,232,5
10,233,4
10,234,4
10,235,5
10,236,5
10,237,4
10,238,5
10,239,3
10,153,4
10,240,4
10,241,5
10,79,4
10,242,4
10,243,3
10,165,4
10,180,4
10,244,4
10,114,4
10,170,5
10,5,3
10,7,4
10,245,5
10,218,5
9,246,3
9,247,4
9,248,4
9,249,5
9,250,5
9,251,4
9,252,2
9,253,4
9,254,4
9,255,4
9,256,4
9,257,4
9,258,2
9,259,3
9,260,5
9,261,2
9,262,5
9,263,2
9,205,5
9,264,2
9,114,2
9,265,3
9,245,5
9,266,4
8,267,5
11,52,4
11,268,4
11,269,5
11,270,4
11,271,4
11,272,5
11,273,5
11,274,4
11,158,4
11,275,5
11,165,5
11,276,5
11,28,4
11,161,4
11,69,4
11,166,5
11,277,5
11,36,5
11,278,4
10,184,3
10,279,3
10,280,2
10,281,4
10,282,3
10,283,3
10,116,2
10,284,3
10,104,4
9,285,3
9,286,3
12,287,4
12,202,5
10,288,3
13,118,4
13,195,5
13,289,5
13,290,5
13,105,4
13,106,4
13,202,4
13,291,4
13,98,5
13,292,5
13,5,3
13,114,3
13,293,5
13,294,3
13,295,4
13,296,4
13,18,4
13,283,4
13,297,3
13,298,3
13,299,4
13,300,5
13,173,4
13,110,4
13,301,4
13,302,4
13,87,5
13,303,4
13,304,4
13,305,4
13,32,4
13,34,5
13,306,4
13,307,4
13,308,3
13,309,3
13,310,3
13,189,4
14,16,5
14,17,5
14,18,5
14,20,4
13,311,4
13,312,5
13,89,4
13,90,5
13,313,5
13,81,5
13,85,5
13,314,3
13,151,4
13,315,4
13,52,3
13,7,4
13,316,3
13,279,4
