userId,rank,title,predictedRating,genres
1,1,Manhattan (1979),5.247507413378755,"Romance,Drama,Comedy"
1,2,Citizenfour (2014),4.754064254806799,Documentary
1,3,Grave of the Fireflies (Hotaru no haka) (1988),4.659905573322858,"Animation,Drama,War"
1,4,"Lives of Others, The (Das leben der Anderen) (2006)",4.7611678623106535,"Thriller,Romance,Drama"
1,5,"Exorcist, The (1973)",4.5178016465078485,"Horror,Mystery"
1,6,8 1/2 (8½) (1963),4.531864973608865,"Drama,Fantasy"
1,7,Modern Times (1936),4.832448670165438,"Romance,Drama,Comedy"
1,8,Drop Dead Gorgeous (1999),4.513599766265847,Comedy
1,9,Band of Brothers (2001),4.581110319581162,"Action,Drama,War"
1,10,"Godfather, The (1972)",4.506325600588975,"Drama,Crime"
1,11,Bandits (2001),4.576579952730518,"Romance,Crime,Comedy"
1,12,2001: A Space Odyssey (1968),4.439460376789395,"Adventure,Drama,Sci-Fi"
1,13,"Bourne Ultimatum, The (2007)",4.4284067357359005,"Thriller,Action,Crime"
1,14,Ustad Hotel (2012),4.449385706564614,"Drama,Children"
1,15,State and Main (2000),4.577757862654046,"Drama,Comedy"
1,16,"Secret in Their Eyes, The (El secreto de sus ojos) (2009)",4.536102970787115,"Mystery,Romance,Thriller,Drama,Crime"
1,17,7:35 in the Morning (2003),4.2639420094617,(no genres listed)
1,18,Whiplash (2014),4.474382703233975,Drama
1,19,Labyrinth (1986),4.363176985407322,"Adventure,Fantasy,Musical"
1,20,Annie Hall (1977),4.523906813241359,"Romance,Comedy"
2,1,Sense and Sensibility (1995),5.554893942048401,"Romance,Drama"
2,2,"Bill Cosby, Himself (1983)",5.540838154925339,"Documentary,Comedy"
2,3,Oculus (2013),5.332460340675712,Horror
2,4,True Romance (1993),5.305593438736931,"Thriller,Crime"
2,5,Igby Goes Down (2002),5.413544122461875,"Drama,Comedy"
2,6,Arrival (2016),5.246930189639966,Sci-Fi
2,7,Ikiru (1952),5.430716339561778,Drama
2,8,"Secret in Their Eyes, The (El secreto de sus ojos) (2009)",5.384287442291547,"Mystery,Romance,Thriller,Drama,Crime"
2,9,Empire of the Sun (1987),5.282216825633403,"Action,Drama,War,Adventure"
2,10,"Third Man, The (1949)",5.28243503417042,"Thriller,Film-Noir,Mystery"
2,11,"Other Side of the Bed, The (Otro lado de la cama, El) (2002)",5.351291936713252,"Romance,Drama,Musical,Comedy"
2,12,Grave of the Fireflies (Hotaru no haka) (1988),5.28827332515853,"Animation,Drama,War"
2,13,Little Big Man (1970),5.112810377231457,Western
2,14,Once Upon a Time in America (1984),5.3110983041201685,"Drama,Crime"
2,15,[REC] (2007),5.228901228147749,"Thriller,Drama,Horror"
2,16,All Dogs Go to Heaven (1989),5.244302612137509,"Children,Animation,Comedy,Drama,Fantasy"
2,17,"Rocky Horror Picture Show, The (1975)",5.2087052886150795,"Sci-Fi,Horror,Musical,Comedy"
2,18,Bill Burr: I'm Sorry You Feel That Way (2014),5.2780581988150965,Comedy
2,19,"Fall, The (2006)",5.204377704368418,"Adventure,Drama,Fantasy"
2,20,Wild Tales (2014),5.317210640065758,"Thriller,Drama,Comedy"
3,1,"Third Man, The (1949)",4.884957551221572,"Thriller,Film-Noir,Mystery"
3,2,Band of Brothers (2001),4.831249741606647,"Action,Drama,War"
3,3,"Bill Cosby, Himself (1983)",4.715939976805568,"Documentary,Comedy"
3,4,True Romance (1993),4.796029526402336,"Thriller,Crime"
3,5,"Remains of the Day, The (1993)",4.6736183550872035,"Romance,Drama"
3,6,Wallace & Gromit: A Close Shave (1995),4.626008752056526,"Animation,Children,Comedy"
3,7,Ikiru (1952),4.707327945733211,Drama
3,8,Suspiria (1977),4.469321361650821,Horror
3,9,Grave of the Fireflies (Hotaru no haka) (1988),4.64142621924972,"Animation,Drama,War"
3,10,Little Big Man (1970),4.415719564932223,Western
3,11,State and Main (2000),4.62955121091115,"Drama,Comedy"
3,12,"Secret in Their Eyes, The (El secreto de sus ojos) (2009)",4.586646697768491,"Mystery,Romance,Thriller,Drama,Crime"
3,13,"Dark Crystal, The (1982)",4.4002758303096225,"Adventure,Fantasy"
3,14,Everest (1998),4.523980470602085,"Documentary,IMAX"
3,15,[REC] (2007),4.513809705535906,"Thriller,Drama,Horror"
3,16,"Rocky Horror Picture Show, The (1975)",4.4623173023507485,"Sci-Fi,Horror,Musical,Comedy"
3,17,"Kentucky Fried Movie, The (1977)",4.5576554157902684,Comedy
3,18,Empire of the Sun (1987),4.650026137783093,"Action,Drama,War,Adventure"
3,19,"Killing Fields, The (1984)",4.612429042247637,"Drama,War"
3,20,Surrogates (2009),4.430664842424668,"Thriller,Action,Sci-Fi"
4,1,Greed (1924),4.098364481707114,Drama
4,2,Citizenfour (2014),3.975536582353713,Documentary
4,3,Suspiria (1977),3.938360797567379,Horror
4,4,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),3.9211272124151093,"Action,Adventure"
4,5,"Secret in Their Eyes, The (El secreto de sus ojos) (2009)",4.0039889326112705,"Mystery,Romance,Thriller,Drama,Crime"
4,6,Wallace & Gromit: A Close Shave (1995),3.85468184107712,"Animation,Children,Comedy"
4,7,Band of Brothers (2001),3.9954900419163035,"Action,Drama,War"
4,8,Igby Goes Down (2002),4.05661488353446,"Drama,Comedy"
4,9,"Fall, The (2006)",3.926747423260659,"Adventure,Drama,Fantasy"
4,10,"Shawshank Redemption, The (1994)",3.9691381892514688,"Drama,Crime"
4,11,7:35 in the Morning (2003),3.7235362948857795,(no genres listed)
4,12,Grave of the Fireflies (Hotaru no haka) (1988),3.910735967305852,"Animation,Drama,War"
4,13,Barcelona (1994),3.8367016121691524,"Romance,Comedy"
4,14,Little Big Man (1970),3.691689273855209,Western
4,15,Pride and Prejudice (1995),3.9014350386475525,"Romance,Drama"
4,16,Stray Dog (Nora inu) (1949),3.8115724478122828,"Thriller,Film-Noir,Drama"
4,17,Black Christmas (1974),3.808597574172464,"Thriller,Horror,Mystery"
4,18,Dead Alive (Braindead) (1992),3.80169541251677,"Fantasy,Horror,Comedy"
4,19,Spirited Away (Sen to Chihiro no kamikakushi) (2001),3.8707191015226496,"Animation,Adventure,Fantasy"
4,20,F for Fake (Vérités et mensonges) (1973),3.8670925872335307,"Documentary,Mystery"
5,1,Band of Brothers (2001),4.517565977437152,"Action,Drama,War"
5,2,"Rocky Horror Picture Show, The (1975)",4.45979620841076,"Sci-Fi,Horror,Musical,Comedy"
5,3,Dial M for Murder (1954),4.3648707457169955,"Thriller,Mystery,Crime"
5,4,Little Big Man (1970),4.304271402028719,Western
5,5,Ikiru (1952),4.4308466470306325,Drama
5,6,"Century of the Self, The (2002)",4.280543662861496,Documentary
5,7,Monsoon Wedding (2001),4.284286413363256,"Romance,Comedy"
5,8,"Man from Snowy River, The (1982)",4.279493460585547,"Romance,Drama,Western"
5,9,"Dark Crystal, The (1982)",4.116486982027215,"Adventure,Fantasy"
5,10,Oculus (2013),4.213195661616591,Horror
5,11,Igby Goes Down (2002),4.29960213386844,"Drama,Comedy"
5,12,Peter Pan (1953),4.1311772899851675,"Animation,Fantasy,Children,Musical"
5,13,Doctor Zhivago (1965),4.25930318851283,"Romance,Drama,War"
5,14,Everest (1998),4.253332797739641,"Documentary,IMAX"
5,15,The Handmaiden (2016),4.2464300477151555,"Thriller,Romance,Drama"
5,16,Some Like It Hot (1959),4.167961286367368,"Crime,Comedy"
5,17,Your Name. (2016),4.193696539482421,"Animation,Romance,Drama,Fantasy"
5,18,"Third Man, The (1949)",4.234162605768788,"Thriller,Film-Noir,Mystery"
5,19,Pride and Prejudice (1995),4.2976551400306064,"Romance,Drama"
5,20,"Kentucky Fried Movie, The (1977)",4.224998461507367,Comedy
6,1,Apocalypse Now (1979),5.6967040991605025,"Action,Drama,War"
6,2,"Third Man, The (1949)",5.582094115583912,"Thriller,Film-Noir,Mystery"
6,3,"Bill Cosby, Himself (1983)",5.550070460902737,"Documentary,Comedy"
6,4,Princess Mononoke (Mononoke-hime) (1997),5.671493504301467,"Action,Animation,Adventure,Drama,Fantasy"
6,5,"Name of the Rose, The (Name der Rose, Der) (1986)",5.595256497734419,"Thriller,Drama,Mystery,Crime"
6,6,Robin Hood (1973),5.521746086260592,"Children,Animation,Comedy,Adventure,Musical"
6,7,Suspiria (1977),5.393851792449484,Horror
6,8,Secretary (2002),5.467141167720837,"Romance,Drama,Comedy"
6,9,Ikiru (1952),5.49199584317305,Drama
6,10,"Century of the Self, The (2002)",5.529286893774292,Documentary
6,11,2001: A Space Odyssey (1968),5.452471353642308,"Adventure,Drama,Sci-Fi"
6,12,Piper (2016),5.3685360177143995,Animation
6,13,Band of Brothers (2001),5.696641406480164,"Action,Drama,War"
6,14,Wallace & Gromit: The Best of Aardman Animation (1996),5.514113596142125,"Animation,Adventure,Comedy"
6,15,Grave of the Fireflies (Hotaru no haka) (1988),5.446854344844882,"Animation,Drama,War"
6,16,[REC] (2007),5.399362680228459,"Thriller,Drama,Horror"
